Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"frequent belching, difficulty swallowing, swollen lymph nodes, persistent sneezing",recent infection,adult,moderate,Arthritis
"loss of appetite, hoarseness, fatigue, abdominal pain",,adult,mild,Iron Deficiency
"difficulty swallowing, difficulty speaking, persistent hiccups, unsteady gait, joint pain",,child,mild,Conjunctivitis
slow healing,,senior,severe,Coronary Artery Disease
"dry eyes, muscle pain, fever, insomnia, trouble walking",autoimmune disorder,adult,mild,Hypertension
"depression, shortness of breath, dizziness, heat intolerance","urban living, pregnancy, autoimmune disorder, high cholesterol",adult,moderate,Stroke
"yellowing of eyes, irregular heartbeat, hair loss, wheezing, dry mouth",,adult,severe,Epilepsy
"hallucinations, drooling, fatigue","alcohol use, smoker",adult,moderate,Insomnia
"skin discoloration, chest pain, nail changes, difficulty swallowing, leg cramps","frequent travel, allergies",adult,moderate,Cataract
"diarrhea, blurred vision, swelling in legs, irritability",,adult,mild,Malaria
"yellowing of eyes, urinary incontinence, repetitive movements, difficulty swallowing, difficulty concentrating, fainting, heat intolerance",frequent travel,adult,mild,Typhoid
"tremors, cough, abdominal pain","autoimmune disorder, thyroid disorder, alcohol use",adult,mild,Sinusitis
"chronic cough, joint pain","anemia, frequent travel",adult,moderate,Depression
"itching, loss of balance, chest pain, hair loss, rash, memory loss",,adult,mild,Vitamin B12 Deficiency
"persistent hiccups, confusion",,teenager,mild,COPD
neck stiffness,,adult,mild,Tetanus
"persistent hiccups, frequent belching, confusion, hand tremors",,adult,moderate,COPD
"dry eyes, difficulty breathing at night, easy bruising, loss of balance, difficulty urinating, headache",recent surgery,teenager,mild,Crohn’s Disease
"insomnia, difficulty urinating, frequent belching, anxiety, frequent infections",radiation exposure,child,severe,Skin Cancer
"palpitations, slow healing","frequent travel, anemia",senior,moderate,Depression
"sensitivity to light, back pain, constipation",,child,moderate,Sleep Apnea
"constipation, muscle pain",occupational hazard,adult,mild,Arrhythmia
"nail changes, frequent infections, difficulty swallowing, heat intolerance, blurred vision, double vision, dry mouth",,adult,mild,Cushing Syndrome
"hoarseness, neck stiffness, dry eyes, lightheadedness, muscle stiffness",diabetes,child,mild,Osteoporosis
"back pain, constipation, muscle pain",,teenager,mild,Peptic Ulcer
insomnia,"long-term medication use, asthma",adult,mild,Irritable Bowel Syndrome
"confusion, abdominal pain, heat intolerance, ear pain","HIV positive, occupational hazard",adult,moderate,Gastroenteritis
leg cramps,,adult,moderate,Parkinson’s Disease
trouble walking,HIV positive,senior,mild,Hypertension
"trouble walking, sensitivity to light, lightheadedness",allergies,senior,severe,Breast Cancer
"voice tremor, back pain, loss of balance, chest pain, lightheadedness, increased thirst, difficulty concentrating",family history of heart disease,adult,mild,Hyperthyroidism
"yellowing of eyes, frequent belching, hair loss, dry mouth, irregular heartbeat, wheezing",stress,adult,severe,Epilepsy
"chronic cough, palpitations, slow healing, joint pain",anemia,adult,severe,Depression
"mood swings, frequent belching, muscle stiffness, frequent headaches, low energy, double vision",,adult,severe,Asthma
"hand tremors, joint pain, persistent hiccups, unsteady gait","family history of heart disease, urban living",adult,moderate,Conjunctivitis
"difficulty swallowing, hallucinations",alcohol use,adult,severe,Alzheimer’s Disease
"neck stiffness, wheezing, mood swings, hand tremors, fainting","asthma, exposure to chemicals",teenager,moderate,Bipolar Disorder
"urinary incontinence, yellowing of eyes, heat intolerance, fainting, difficulty swallowing, repetitive movements","frequent travel, anemia, recent infection",adult,moderate,Typhoid
"difficulty speaking, persistent hiccups, joint pain, unsteady gait, difficulty swallowing, hand tremors",,adult,moderate,Conjunctivitis
"lightheadedness, cough",,teenager,moderate,Sinusitis
"constipation, sensitivity to light, back pain",COPD,teenager,mild,Sleep Apnea
"ear pain, abdominal pain, lump or swelling","HIV positive, occupational hazard",child,mild,Gastroenteritis
"easy bruising, groin pain, drooling","smoker, chronic liver disease",child,severe,Gallstones
"gas/bloating, numbness, loss of taste, hand tremors",chronic liver disease,teenager,moderate,Tension Headache
"hand tremors, difficulty sleeping, urinary incontinence, tremors",urban living,senior,moderate,Multiple Sclerosis
"constipation, abdominal pain, back pain","COPD, sleep apnea, high cholesterol",adult,mild,Sleep Apnea
"irritability, diarrhea, difficulty sleeping, swelling in legs",,adult,moderate,Malaria
"hoarseness, numbness, confusion, irregular heartbeat, craving for salt, yellowing of eyes",,senior,mild,Transient Ischemic Attack
"groin pain, fainting, lump or swelling, frequent urination, double vision, frequent headaches, shortness of breath",,adult,mild,Pneumonia
"cough, fainting, weight loss",smoker,senior,severe,Diabetes Type 2
ear pain,HIV positive,senior,moderate,Gastroenteritis
"difficulty swallowing, heat intolerance, dry mouth, frequent infections, blurred vision, double vision, nail changes",family history of heart disease,adult,moderate,Cushing Syndrome
"muscle pain, dry eyes","low immunity, mental health disorder, autoimmune disorder, HIV positive",adult,mild,Hypertension
"abdominal pain, fatigue, hoarseness, loss of appetite",family history of cancer,adult,moderate,Iron Deficiency
"mood swings, double vision","chronic liver disease, stress, mental health disorder, obesity",child,severe,Asthma
"fatigue, cough","alcohol use, frequent travel, smoker, exposure to chemicals",adult,mild,Insomnia
neck stiffness,"long-term medication use, exposure to chemicals",senior,moderate,Lupus
"depression, hiccups",,senior,severe,Mumps
"hand tremors, persistent hiccups",pregnancy,adult,moderate,COPD
"muscle stiffness, mood swings","obesity, mental health disorder",adult,severe,Asthma
"difficulty breathing at night, difficulty speaking",allergies,adult,moderate,Dengue Fever
"frequent headaches, mood swings","stress, obesity",teenager,moderate,Asthma
"loss of taste, heat intolerance, difficulty urinating","family history of heart disease, family history of cancer",senior,severe,Lymphoma
fainting,"urban living, sleep apnea, autoimmune disorder",adult,mild,Ulcerative Colitis
rash,smoker,teenager,moderate,Schizophrenia
groin pain,,teenager,mild,Gallstones
"nail changes, heat intolerance",chronic kidney disease,adult,moderate,Kidney Stones
"frequent belching, confusion, persistent hiccups, hand tremors",,teenager,mild,COPD
"hair loss, memory loss, palpitations, shortness of breath",,child,moderate,Cirrhosis
nail changes,"chronic kidney disease, autoimmune disorder",adult,mild,Measles
"abdominal pain, lightheadedness, tremors",,senior,mild,Sinusitis
fainting,"smoker, radiation exposure",senior,mild,Diabetes Type 2
"voice tremor, hand tremors",recent surgery,adult,mild,Congestive Heart Failure
cough,"exposure to chemicals, smoker, alcohol use, frequent travel",adult,mild,Insomnia
"nausea, abdominal pain, painful urination","obesity, sleep apnea, malnutrition",senior,severe,Migraine
difficulty urinating,"night shift worker, high cholesterol, recent surgery",senior,moderate,Crohn’s Disease
"confusion, frequent belching",,child,moderate,COPD
"slow healing, joint pain, chronic cough, palpitations",long-term medication use,teenager,mild,Depression
"dry eyes, hoarseness, neck stiffness","radiation exposure, thyroid disorder, diabetes",teenager,moderate,Osteoporosis
"hoarseness, diarrhea, wheezing, leg cramps","sleep apnea, mental health disorder",adult,moderate,Hepatitis B
"tremors, muscle pain, difficulty swallowing, chest pain, cough, painful urination","occupational hazard, alcohol use, malnutrition",adult,moderate,Macular Degeneration
"loss of appetite, frequent infections, blurred vision, swelling in legs, ear pain, muscle stiffness, loss of smell",,adult,moderate,Anxiety Disorder
unsteady gait,"family history of heart disease, urban living",adult,mild,Conjunctivitis
"rash, wheezing, hand tremors, low energy, numbness",high cholesterol,adult,moderate,Chickenpox
"confusion, persistent hiccups, hand tremors",exposure to chemicals,adult,moderate,COPD
diarrhea,,child,severe,Malaria
"unsteady gait, muscle stiffness, palpitations, constipation","occupational hazard, night shift worker",senior,moderate,Arrhythmia
"difficulty breathing at night, yellowing of eyes, drooling, frequent infections",,adult,mild,Influenza
"craving for salt, yellowing of eyes, shortness of breath, numbness, irregular heartbeat",radiation exposure,senior,moderate,Transient Ischemic Attack
loss of appetite,vitamin D deficiency,adult,mild,Anxiety Disorder
"insomnia, fainting, difficulty sleeping, rash, urinary incontinence","smoker, sleep apnea",teenager,severe,Schizophrenia
difficulty swallowing,,adult,mild,Typhoid
"cough, hand tremors, nosebleeds, fatigue, hallucinations, drooling","alcohol use, exposure to chemicals, frequent travel",child,mild,Insomnia
"frequent infections, yellowing of eyes, drooling","rural living, night shift worker, vitamin D deficiency",adult,mild,Influenza
difficulty swallowing,,senior,moderate,Cataract
craving for salt,,adult,moderate,Zika Virus
"insomnia, persistent hiccups, acid reflux, skin discoloration",,adult,moderate,Irritable Bowel Syndrome
"nail changes, dizziness, fever","thyroid disorder, COPD, chronic liver disease",senior,moderate,Common Cold
"memory loss, palpitations, frequent infections","alcohol use, night shift worker, hypertension",adult,moderate,Cirrhosis
"trouble walking, insomnia, dry eyes","HIV positive, low immunity, mental health disorder, autoimmune disorder",teenager,mild,Hypertension
"constipation, back pain, muscle pain, difficulty speaking","long-term medication use, chronic kidney disease",adult,moderate,Peptic Ulcer
"wheezing, constipation, difficulty swallowing, headache, neck stiffness",long-term medication use,adult,moderate,Lupus
"weight loss, craving for salt, irritability, facial drooping",,senior,moderate,Zika Virus
"difficulty swallowing, loss of smell, constipation","low immunity, mental health disorder",senior,mild,Anemia
"loss of taste, facial drooping, persistent hiccups","asthma, diabetes, anemia, high cholesterol",child,severe,Chronic Kidney Disease
"loss of taste, difficulty urinating, abdominal pain",,adult,severe,Lymphoma
"joint pain, difficulty speaking, fever, difficulty urinating","chronic kidney disease, family history of cancer, thyroid disorder",senior,moderate,Glaucoma
"difficulty urinating, hand tremors","mental health disorder, smoker",adult,moderate,Congestive Heart Failure
"loss of balance, weight loss, depression, nosebleeds",chronic kidney disease,senior,mild,Hepatitis C
palpitations,obesity,senior,mild,Diabetes Type 1
"hand tremors, voice tremor, difficulty urinating","HIV positive, mental health disorder, smoker, recent surgery",adult,severe,Congestive Heart Failure
"hoarseness, craving for salt, irregular heartbeat, numbness, yellowing of eyes",,child,mild,Transient Ischemic Attack
abdominal pain,,adult,mild,Sleep Apnea
"hand tremors, neck stiffness, mood swings, fever, wheezing",asthma,adult,mild,Bipolar Disorder
"difficulty swallowing, frequent infections, dry mouth","family history of heart disease, family history of cancer",adult,severe,Cushing Syndrome
"heat intolerance, hair loss, skin discoloration, dizziness",high cholesterol,adult,mild,COVID-19
"involuntary movements, depression, weight loss","HIV positive, stress",adult,mild,Mumps
"skin discoloration, chest pain, nail changes",frequent travel,adult,severe,Cataract
"confusion, lump or swelling, persistent hiccups, ear pain",HIV positive,child,mild,Gastroenteritis
"difficulty breathing at night, hair loss, memory loss, palpitations, nosebleeds","alcohol use, night shift worker",adult,mild,Cirrhosis
"vision loss, loss of balance, voice tremor, memory loss",HIV positive,adult,mild,Congestive Heart Failure
"low energy, lightheadedness",exposure to chemicals,adult,moderate,Tuberculosis
"cough, fainting","smoker, radiation exposure",adult,moderate,Diabetes Type 2
cold hands and feet,long-term medication use,adult,mild,Lung Cancer
"hallucinations, difficulty urinating","malnutrition, occupational hazard, alcohol use",child,moderate,Alzheimer’s Disease
"frequent infections, nail changes",,adult,mild,Cushing Syndrome
"drooling, difficulty breathing at night, frequent infections","HIV positive, vitamin D deficiency, rural living, night shift worker",adult,severe,Influenza
