symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
joint pain,Arthritis,diabetes,child,moderate,herbal,Ibuprofen,"Turmeric, Boswellia",3.6,3.3
dizziness,Vertigo,heart disease,adult,mild,pharmaceutical,Meclizine,"Ginseng, Ginger",3.7,4.5
dizziness,Vertigo,no known condition,child,severe,herbal,Meclizine,"Bacopa, Ginger",4.1,3.6
stomach pain,Gastritis,hypertension,child,mild,pharmaceutical,Omeprazole,"Fennel Seeds, Probiotics",4.4,4.1
shortness of breath,Asthma,hypertension,senior,mild,pharmaceutical,Albuterol,"Deep Breathing, Quercetin",4.4,4.3
anxiety,Generalized Anxiety Disorder,obesity,child,moderate,pharmaceutical,Alprazolam,"Valerian Root, L-Theanine",3.6,4.4
muscle pain,Fibromyalgia,hypertension,child,moderate,pharmaceutical,Diclofenac,"Eucalyptus Oil, Arnica",3.6,4.5
skin rash,Allergic Reaction,heart disease,adult,mild,pharmaceutical,Antihistamine,"Calendula, Oatmeal",4.2,3.3
headache,Migraine,heart disease,child,severe,no preference,Paracetamol,"Feverfew, Butterbur",4.4,4.2
cough,Common Cold,allergies,senior,moderate,herbal,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.1,3.6
fever,Viral Infection,no known condition,senior,mild,herbal,Ibuprofen,"Elderberry, Giloy",5.0,4.6
sore throat,Strep Throat,hypertension,adult,mild,herbal,Throat Lozenges,"Saltwater Gargle, Slippery Elm",3.5,4.6
insomnia,Sleep Disorder,obesity,senior,moderate,no preference,Melatonin,"Lavender Oil, Magnesium",3.8,4.4
muscle pain,Fibromyalgia,heart disease,adult,moderate,herbal,Diclofenac,"Massage Therapy, Arnica",3.8,4.4
cough,Common Cold,allergies,adult,mild,herbal,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.1,4.1
headache,Migraine,no known condition,child,mild,pharmaceutical,Paracetamol,"Magnesium, Feverfew",4.7,3.9
shortness of breath,Asthma,allergies,child,mild,herbal,Albuterol,"Deep Breathing, Yoga",4.4,3.7
headache,Migraine,asthma,senior,moderate,pharmaceutical,Paracetamol,"Butterbur, Magnesium",4.3,4.7
anxiety,Generalized Anxiety Disorder,asthma,senior,mild,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",4.5,3.8
shortness of breath,Asthma,diabetes,adult,severe,pharmaceutical,Albuterol,"Deep Breathing, Yoga",4.3,3.7
muscle pain,Fibromyalgia,diabetes,adult,severe,pharmaceutical,Diclofenac,"Arnica, Massage Therapy",4.1,4.3
insomnia,Sleep Disorder,obesity,adult,severe,no preference,Melatonin,"Passionflower, Magnesium",3.6,4.4
cough,Common Cold,diabetes,senior,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",3.8,3.5
fatigue,Chronic Fatigue Syndrome,heart disease,child,mild,herbal,Vitamin B12,"Rhodiola, Ginseng",4.8,3.0
skin rash,Allergic Reaction,hypertension,child,moderate,herbal,Antihistamine,"Calendula, Oatmeal",3.8,4.9
cough,Common Cold,diabetes,senior,moderate,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.6,4.7
skin rash,Allergic Reaction,diabetes,child,mild,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.5,4.2
nausea,Gastroenteritis,obesity,child,mild,no preference,Ondansetron,"Ginger, Lemon Balm",3.9,4.4
fever,Viral Infection,diabetes,adult,moderate,pharmaceutical,Ibuprofen,"Tulsi Tea, Giloy",4.2,4.5
cough,Common Cold,no known condition,senior,mild,herbal,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.3,4.2
anxiety,Generalized Anxiety Disorder,obesity,adult,severe,no preference,Alprazolam,"Chamomile, Valerian Root",3.7,3.0
headache,Migraine,no known condition,adult,mild,pharmaceutical,Paracetamol,"Feverfew, Magnesium",4.0,4.8
cough,Common Cold,diabetes,child,severe,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.5,4.2
anxiety,Generalized Anxiety Disorder,no known condition,senior,severe,no preference,Alprazolam,"Chamomile, L-Theanine",4.9,4.1
cough,Common Cold,allergies,senior,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",3.9,4.7
nausea,Gastroenteritis,allergies,child,moderate,no preference,Ondansetron,"Ginger, Lemon Balm",4.9,3.8
nausea,Gastroenteritis,diabetes,child,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.5,4.4
sore throat,Strep Throat,diabetes,child,mild,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.1,4.6
fatigue,Chronic Fatigue Syndrome,hypertension,senior,severe,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.3,4.6
sore throat,Strep Throat,asthma,child,severe,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.5,3.6
fever,Viral Infection,hypertension,child,moderate,herbal,Ibuprofen,"Tulsi Tea, Giloy",3.5,4.4
cough,Common Cold,heart disease,child,mild,pharmaceutical,Dextromethorphan,"Honey & Ginger, Thyme Tea",5.0,4.0
fever,Viral Infection,allergies,adult,severe,no preference,Ibuprofen,"Tulsi Tea, Giloy",3.9,4.5
nausea,Gastroenteritis,hypertension,adult,moderate,pharmaceutical,Ondansetron,"Peppermint Oil, Ginger",4.9,3.4
headache,Migraine,allergies,senior,moderate,no preference,Paracetamol,"Magnesium, Feverfew",4.3,3.9
muscle pain,Fibromyalgia,obesity,adult,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.2,3.2
fever,Viral Infection,obesity,senior,moderate,pharmaceutical,Ibuprofen,"Elderberry, Tulsi Tea",3.9,3.3
fatigue,Chronic Fatigue Syndrome,allergies,adult,severe,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",4.9,4.1
shortness of breath,Asthma,no known condition,child,moderate,herbal,Albuterol,"Deep Breathing, Yoga",4.4,4.5
insomnia,Sleep Disorder,allergies,child,mild,pharmaceutical,Melatonin,"Lavender Oil, Magnesium",4.8,3.3
cough,Common Cold,allergies,senior,severe,no preference,Dextromethorphan,"Thyme Tea, Mulethi",3.9,3.0
nausea,Gastroenteritis,heart disease,senior,mild,herbal,Ondansetron,"Ginger, Lemon Balm",4.6,4.6
skin rash,Allergic Reaction,heart disease,child,mild,herbal,Antihistamine,"Oatmeal, Aloe Vera",4.0,4.9
nausea,Gastroenteritis,asthma,adult,severe,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",3.5,3.5
fatigue,Chronic Fatigue Syndrome,heart disease,adult,moderate,no preference,Vitamin B12,"Rhodiola, Ashwagandha",4.5,4.3
headache,Migraine,asthma,child,severe,herbal,Paracetamol,"Feverfew, Butterbur",4.7,4.2
stomach pain,Gastritis,asthma,adult,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",3.9,3.0
dizziness,Vertigo,asthma,adult,mild,herbal,Meclizine,"Ginseng, Bacopa",4.3,4.7
skin rash,Allergic Reaction,diabetes,child,severe,no preference,Antihistamine,"Oatmeal, Aloe Vera",4.3,4.4
insomnia,Sleep Disorder,diabetes,adult,moderate,no preference,Melatonin,"Lavender Oil, Magnesium",4.1,4.6
nausea,Gastroenteritis,allergies,senior,moderate,herbal,Ondansetron,"Lemon Balm, Ginger",4.0,3.2
muscle pain,Fibromyalgia,no known condition,child,mild,no preference,Diclofenac,"Arnica, Eucalyptus Oil",3.9,3.6
nausea,Gastroenteritis,hypertension,adult,severe,no preference,Ondansetron,"Ginger, Lemon Balm",4.0,3.1
shortness of breath,Asthma,obesity,adult,mild,no preference,Albuterol,"Deep Breathing, Yoga",4.0,4.4
shortness of breath,Asthma,obesity,child,mild,pharmaceutical,Albuterol,"Yoga, Deep Breathing",3.8,4.3
nausea,Gastroenteritis,obesity,adult,moderate,pharmaceutical,Ondansetron,"Peppermint Oil, Ginger",3.7,3.5
skin rash,Allergic Reaction,diabetes,child,severe,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",3.6,3.8
insomnia,Sleep Disorder,allergies,senior,mild,herbal,Melatonin,"Lavender Oil, Passionflower",3.5,3.4
fatigue,Chronic Fatigue Syndrome,allergies,senior,mild,herbal,Vitamin B12,"Rhodiola, Ginseng",3.8,4.1
insomnia,Sleep Disorder,heart disease,child,severe,herbal,Melatonin,"Lavender Oil, Passionflower",4.0,4.9
joint pain,Arthritis,heart disease,child,mild,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",3.7,3.7
fever,Viral Infection,heart disease,senior,moderate,no preference,Ibuprofen,"Giloy, Tulsi Tea",4.7,3.5
nausea,Gastroenteritis,obesity,adult,severe,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",4.3,3.5
joint pain,Arthritis,heart disease,adult,mild,herbal,Ibuprofen,"Devil’s Claw, Boswellia",4.9,4.4
nausea,Gastroenteritis,heart disease,child,mild,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.1,4.1
fatigue,Chronic Fatigue Syndrome,allergies,adult,severe,pharmaceutical,Vitamin B12,"Ginseng, Rhodiola",4.5,4.8
headache,Migraine,obesity,senior,moderate,herbal,Paracetamol,"Feverfew, Magnesium",4.5,3.9
headache,Migraine,asthma,adult,severe,herbal,Paracetamol,"Feverfew, Butterbur",3.8,3.5
skin rash,Allergic Reaction,heart disease,senior,mild,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",3.9,4.6
fatigue,Chronic Fatigue Syndrome,allergies,child,moderate,herbal,Vitamin B12,"Ginseng, Rhodiola",3.7,4.5
headache,Migraine,obesity,adult,moderate,no preference,Paracetamol,"Butterbur, Magnesium",4.7,3.8
dizziness,Vertigo,obesity,adult,mild,pharmaceutical,Meclizine,"Ginseng, Bacopa",3.6,3.0
joint pain,Arthritis,asthma,senior,moderate,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",3.8,4.5
nausea,Gastroenteritis,asthma,senior,mild,no preference,Ondansetron,"Ginger, Lemon Balm",3.8,3.3
fever,Viral Infection,no known condition,child,moderate,pharmaceutical,Ibuprofen,"Giloy, Tulsi Tea",4.9,4.9
skin rash,Allergic Reaction,no known condition,senior,severe,herbal,Antihistamine,"Calendula, Aloe Vera",4.3,3.4
sore throat,Strep Throat,allergies,child,moderate,pharmaceutical,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.3,4.9
insomnia,Sleep Disorder,diabetes,child,mild,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",4.0,3.2
muscle pain,Fibromyalgia,allergies,adult,moderate,pharmaceutical,Diclofenac,"Eucalyptus Oil, Arnica",4.9,3.9
anxiety,Generalized Anxiety Disorder,heart disease,senior,severe,herbal,Alprazolam,"L-Theanine, Chamomile",4.3,3.6
muscle pain,Fibromyalgia,asthma,senior,moderate,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.5,3.3
stomach pain,Gastritis,obesity,adult,severe,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",3.6,4.6
sore throat,Strep Throat,hypertension,senior,severe,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.4,4.0
anxiety,Generalized Anxiety Disorder,diabetes,child,mild,herbal,Alprazolam,"Valerian Root, L-Theanine",3.6,3.0
shortness of breath,Asthma,allergies,adult,severe,pharmaceutical,Albuterol,"Yoga, Deep Breathing",4.5,4.8
sore throat,Strep Throat,hypertension,senior,moderate,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.3,3.8
headache,Migraine,hypertension,senior,moderate,pharmaceutical,Paracetamol,"Magnesium, Feverfew",4.6,4.4
shortness of breath,Asthma,diabetes,adult,severe,no preference,Albuterol,"Deep Breathing, Yoga",4.1,4.1
headache,Migraine,asthma,child,moderate,no preference,Paracetamol,"Feverfew, Magnesium",5.0,4.3
skin rash,Allergic Reaction,asthma,adult,moderate,no preference,Antihistamine,"Aloe Vera, Oatmeal",4.2,4.4
skin rash,Allergic Reaction,obesity,child,mild,herbal,Antihistamine,"Calendula, Aloe Vera",3.8,3.2
sore throat,Strep Throat,asthma,senior,severe,no preference,Throat Lozenges,"Slippery Elm, Saltwater Gargle",3.7,4.5
muscle pain,Fibromyalgia,hypertension,adult,moderate,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",3.9,4.2
muscle pain,Fibromyalgia,diabetes,adult,mild,herbal,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.0,3.6
insomnia,Sleep Disorder,obesity,adult,severe,no preference,Melatonin,"Lavender Oil, Magnesium",4.6,3.7
nausea,Gastroenteritis,allergies,adult,moderate,pharmaceutical,Ondansetron,"Ginger, Peppermint Oil",3.6,4.2
shortness of breath,Asthma,allergies,senior,mild,herbal,Albuterol,"Quercetin, Deep Breathing",4.2,3.6
insomnia,Sleep Disorder,diabetes,child,mild,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",3.9,4.7
headache,Migraine,heart disease,adult,moderate,herbal,Paracetamol,"Magnesium, Feverfew",4.1,3.0
stomach pain,Gastritis,hypertension,senior,severe,no preference,Omeprazole,"Probiotics, Chamomile",3.6,4.9
shortness of breath,Asthma,allergies,adult,severe,no preference,Albuterol,"Deep Breathing, Yoga",3.7,4.7
anxiety,Generalized Anxiety Disorder,allergies,child,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.2,4.2
stomach pain,Gastritis,heart disease,adult,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.2,3.8
dizziness,Vertigo,diabetes,senior,severe,pharmaceutical,Meclizine,"Bacopa, Ginger",3.8,4.0
insomnia,Sleep Disorder,hypertension,senior,moderate,no preference,Melatonin,"Magnesium, Passionflower",4.7,4.4
fever,Viral Infection,allergies,senior,severe,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.2,3.1
sore throat,Strep Throat,allergies,senior,mild,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.2,3.7
insomnia,Sleep Disorder,obesity,adult,moderate,pharmaceutical,Melatonin,"Lavender Oil, Magnesium",4.1,3.3
headache,Migraine,diabetes,child,severe,herbal,Paracetamol,"Feverfew, Magnesium",3.8,4.0
fever,Viral Infection,hypertension,child,moderate,no preference,Ibuprofen,"Giloy, Elderberry",4.1,3.9
headache,Migraine,hypertension,senior,mild,pharmaceutical,Paracetamol,"Feverfew, Magnesium",3.7,3.4
nausea,Gastroenteritis,hypertension,child,mild,no preference,Ondansetron,"Ginger, Peppermint Oil",4.3,3.2
insomnia,Sleep Disorder,allergies,child,moderate,pharmaceutical,Melatonin,"Lavender Oil, Magnesium",4.7,3.3
cough,Common Cold,no known condition,adult,moderate,herbal,Dextromethorphan,"Honey & Ginger, Mulethi",3.8,3.7
stomach pain,Gastritis,heart disease,adult,mild,no preference,Omeprazole,"Probiotics, Fennel Seeds",4.7,3.3
fever,Viral Infection,hypertension,adult,moderate,herbal,Ibuprofen,"Giloy, Tulsi Tea",4.0,3.7
cough,Common Cold,obesity,adult,moderate,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.1,4.8
shortness of breath,Asthma,diabetes,senior,mild,herbal,Albuterol,"Yoga, Deep Breathing",4.7,3.8
fever,Viral Infection,no known condition,adult,severe,no preference,Ibuprofen,"Elderberry, Giloy",4.5,4.1
stomach pain,Gastritis,obesity,child,severe,pharmaceutical,Omeprazole,"Chamomile, Probiotics",4.4,3.4
cough,Common Cold,asthma,senior,mild,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.9,4.8
stomach pain,Gastritis,diabetes,child,moderate,no preference,Omeprazole,"Chamomile, Fennel Seeds",4.7,3.1
cough,Common Cold,obesity,adult,mild,herbal,Dextromethorphan,"Thyme Tea, Mulethi",4.1,4.8
headache,Migraine,hypertension,child,mild,herbal,Paracetamol,"Magnesium, Feverfew",4.8,4.6
skin rash,Allergic Reaction,no known condition,senior,moderate,no preference,Antihistamine,"Oatmeal, Calendula",3.9,4.8
fever,Viral Infection,obesity,child,moderate,pharmaceutical,Ibuprofen,"Tulsi Tea, Giloy",3.8,3.8
sore throat,Strep Throat,diabetes,senior,mild,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.6,3.8
headache,Migraine,hypertension,senior,mild,pharmaceutical,Paracetamol,"Feverfew, Magnesium",4.8,4.8
cough,Common Cold,obesity,adult,mild,pharmaceutical,Dextromethorphan,"Thyme Tea, Honey & Ginger",5.0,4.8
skin rash,Allergic Reaction,heart disease,child,mild,herbal,Antihistamine,"Oatmeal, Aloe Vera",3.7,4.7
joint pain,Arthritis,obesity,child,severe,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",4.8,3.6
dizziness,Vertigo,hypertension,senior,severe,herbal,Meclizine,"Bacopa, Ginger",3.7,4.2
fever,Viral Infection,asthma,senior,severe,pharmaceutical,Ibuprofen,"Elderberry, Giloy",4.4,4.6
insomnia,Sleep Disorder,allergies,senior,moderate,herbal,Melatonin,"Passionflower, Lavender Oil",4.5,3.4
fever,Viral Infection,heart disease,child,severe,herbal,Ibuprofen,"Tulsi Tea, Giloy",4.7,3.6
nausea,Gastroenteritis,no known condition,adult,severe,no preference,Ondansetron,"Ginger, Peppermint Oil",4.2,3.6
muscle pain,Fibromyalgia,asthma,senior,moderate,no preference,Diclofenac,"Arnica, Massage Therapy",4.4,3.2
fatigue,Chronic Fatigue Syndrome,hypertension,adult,mild,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",4.6,4.8
stomach pain,Gastritis,hypertension,adult,severe,herbal,Omeprazole,"Chamomile, Fennel Seeds",4.1,3.8
dizziness,Vertigo,heart disease,child,moderate,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.5,4.7
anxiety,Generalized Anxiety Disorder,no known condition,adult,moderate,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",4.2,3.3
cough,Common Cold,heart disease,adult,moderate,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.5,4.6
muscle pain,Fibromyalgia,diabetes,senior,mild,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",3.6,3.2
cough,Common Cold,asthma,adult,severe,pharmaceutical,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.0,3.3
fever,Viral Infection,obesity,senior,moderate,pharmaceutical,Ibuprofen,"Tulsi Tea, Elderberry",4.9,4.6
fatigue,Chronic Fatigue Syndrome,hypertension,senior,moderate,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",4.8,3.3
joint pain,Arthritis,hypertension,child,moderate,no preference,Ibuprofen,"Devil’s Claw, Boswellia",4.3,3.9
insomnia,Sleep Disorder,hypertension,child,mild,no preference,Melatonin,"Magnesium, Passionflower",4.5,3.0
muscle pain,Fibromyalgia,no known condition,senior,mild,herbal,Diclofenac,"Arnica, Eucalyptus Oil",3.7,4.8
joint pain,Arthritis,allergies,senior,moderate,herbal,Ibuprofen,"Devil’s Claw, Boswellia",4.8,3.7
shortness of breath,Asthma,hypertension,adult,mild,herbal,Albuterol,"Deep Breathing, Quercetin",3.5,4.7
fatigue,Chronic Fatigue Syndrome,diabetes,child,moderate,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.7,4.5
sore throat,Strep Throat,hypertension,child,mild,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.8,4.6
anxiety,Generalized Anxiety Disorder,diabetes,adult,moderate,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",3.8,4.8
joint pain,Arthritis,asthma,child,severe,herbal,Ibuprofen,"Turmeric, Devil’s Claw",3.8,3.7
joint pain,Arthritis,no known condition,child,mild,no preference,Ibuprofen,"Turmeric, Boswellia",4.7,3.8
muscle pain,Fibromyalgia,diabetes,senior,mild,herbal,Diclofenac,"Eucalyptus Oil, Arnica",4.3,3.4
fatigue,Chronic Fatigue Syndrome,hypertension,senior,mild,no preference,Vitamin B12,"Ashwagandha, Rhodiola",4.7,4.5
fatigue,Chronic Fatigue Syndrome,allergies,child,moderate,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",3.8,4.1
muscle pain,Fibromyalgia,asthma,senior,moderate,pharmaceutical,Diclofenac,"Arnica, Massage Therapy",3.8,4.3
stomach pain,Gastritis,hypertension,senior,mild,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",3.7,3.8
fever,Viral Infection,no known condition,child,severe,herbal,Ibuprofen,"Elderberry, Giloy",4.4,4.6
fever,Viral Infection,diabetes,adult,severe,no preference,Ibuprofen,"Giloy, Elderberry",3.7,4.4
cough,Common Cold,asthma,child,severe,pharmaceutical,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.4,3.2
fatigue,Chronic Fatigue Syndrome,obesity,child,moderate,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",3.6,4.4
headache,Migraine,diabetes,child,severe,no preference,Paracetamol,"Butterbur, Magnesium",3.5,4.2
insomnia,Sleep Disorder,hypertension,adult,mild,no preference,Melatonin,"Passionflower, Magnesium",4.3,3.7
fatigue,Chronic Fatigue Syndrome,diabetes,senior,severe,herbal,Vitamin B12,"Ginseng, Rhodiola",4.6,3.3
insomnia,Sleep Disorder,hypertension,adult,moderate,no preference,Melatonin,"Passionflower, Magnesium",3.9,3.1
headache,Migraine,no known condition,senior,moderate,pharmaceutical,Paracetamol,"Butterbur, Feverfew",4.5,4.9
stomach pain,Gastritis,no known condition,adult,mild,no preference,Omeprazole,"Fennel Seeds, Chamomile",5.0,4.1
stomach pain,Gastritis,hypertension,child,moderate,pharmaceutical,Omeprazole,"Probiotics, Chamomile",3.6,4.7
skin rash,Allergic Reaction,heart disease,child,mild,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.8,4.9
skin rash,Allergic Reaction,allergies,senior,severe,herbal,Antihistamine,"Aloe Vera, Oatmeal",4.3,3.2
shortness of breath,Asthma,hypertension,child,severe,pharmaceutical,Albuterol,"Deep Breathing, Quercetin",3.7,3.1
dizziness,Vertigo,asthma,child,moderate,no preference,Meclizine,"Ginger, Ginseng",4.9,4.3
dizziness,Vertigo,allergies,senior,severe,pharmaceutical,Meclizine,"Bacopa, Ginseng",3.9,4.8
joint pain,Arthritis,no known condition,adult,moderate,herbal,Ibuprofen,"Devil’s Claw, Boswellia",4.3,3.1
cough,Common Cold,asthma,child,moderate,no preference,Dextromethorphan,"Thyme Tea, Mulethi",4.6,3.3
insomnia,Sleep Disorder,diabetes,adult,severe,herbal,Melatonin,"Magnesium, Lavender Oil",4.7,3.3
